,Row.names,baseMean,log2FoldChange,lfcSE,pvalue,padj,significant
2110,ENSG00000100201,6461.654786,0.012254669,0.060877842,0.819290974,0.905097108,unchanged
2111,ENSG00000100206,9.08343362,0.059120456,0.138329034,0.161559516,0.35275994,unchanged
2112,ENSG00000100207,431.4797855,-0.052056306,0.098894867,0.421285023,0.627192213,unchanged
2113,ENSG00000100209,33.55116201,0.102282211,0.091975378,0.137879146,0.321060778,unchanged
2114,ENSG00000100211,31.09915133,0.117111644,0.097312538,0.102155349,0.266126893,unchanged
2115,ENSG00000100216,218.3238762,0.084631911,0.078176528,0.175865205,0.370740966,unchanged
2116,ENSG00000100218,3.691487941,0.026075337,0.120512813,0.604074516,NA,unchanged
2117,ENSG00000100219,1658.055419,0.036165826,0.082520259,0.567854923,0.743091613,unchanged
2118,ENSG00000100220,492.0988743,-0.006209281,0.067291028,0.912436643,0.95790747,unchanged
2119,ENSG00000100221,56.16760629,0.045282986,0.124188231,0.370296256,0.578211922,unchanged
2120,ENSG00000100225,41419.0769,0.091233953,0.130368988,0.185699777,0.382063403,unchanged
2121,ENSG00000100226,368.1576872,-0.076665465,0.100786419,0.269910156,0.481565664,unchanged
2122,ENSG00000100227,668.6167963,-0.108973139,0.061277279,0.044869526,0.160697685,unchanged
2123,ENSG00000100228,18.45068647,-0.391615148,0.236186087,0.004683755,0.038427888,downregulated
2124,ENSG00000100234,1.603353192,0.036859671,0.133427224,0.133760881,NA,unchanged
2125,ENSG00000100239,286.2606207,-0.202767792,0.096034128,0.007570127,0.053649835,unchanged
2126,ENSG00000100241,333.0869015,-0.769250667,0.166676187,1.65E-07,0.000126648,downregulated
2127,ENSG00000100242,1670.886967,-0.548045722,0.139890221,4.15E-06,0.00050393,downregulated
2128,ENSG00000100243,263.8421259,0.119993607,0.137081867,0.123202994,0.298585741,unchanged
2129,ENSG00000100246,60.13458182,-0.114043812,0.074813008,0.067111613,0.206374547,unchanged
2130,ENSG00000100249,0.007576063,-0.000371383,0.128699107,0.967706168,NA,unchanged
2131,ENSG00000100253,0.129122901,-0.002072707,0.128712341,0.905128525,NA,unchanged
2132,ENSG00000100258,132.6667093,-0.327993592,0.161005931,0.003128021,0.029432321,downregulated
2133,ENSG00000100263,11.12066596,-0.029238657,0.106799286,0.632826261,0.789565698,unchanged
2134,ENSG00000100266,803.130099,-0.214935113,0.1312244,0.018173008,0.091666403,unchanged
2135,ENSG00000100271,32.71220153,-0.022420074,0.085341422,0.724790571,0.850010701,unchanged
2136,ENSG00000100276,0.384812161,-0.003560835,0.128605506,0.822917146,NA,unchanged
2137,ENSG00000100280,16.70888689,-0.014104857,0.127403949,0.543072652,NA,unchanged
2138,ENSG00000100281,94.24912107,0.037448402,0.099767913,0.556293069,0.736462157,unchanged
2139,ENSG00000100284,211.9667017,-0.247242328,0.10486535,0.002923728,0.028262659,downregulated
2140,ENSG00000100285,1.074691188,-0.069134588,0.153502033,0.040616561,NA,unchanged
2141,ENSG00000100288,201.6907859,-0.054165379,0.076520068,0.377176992,0.583614888,unchanged
2142,ENSG00000100290,6.059332987,-0.022593586,0.11617512,0.663474776,0.810016263,unchanged
2143,ENSG00000100292,162.6324338,-0.393947048,0.143547019,0.000485113,0.009470308,downregulated
2144,ENSG00000100294,23.40303291,-0.079314449,0.100448909,0.251591028,0.461223485,unchanged
2145,ENSG00000100296,470.898508,-0.030193515,0.074035942,0.616265212,0.777979015,unchanged
2146,ENSG00000100297,73.17651456,-0.392379603,0.165297096,0.001126764,0.015727101,downregulated
2147,ENSG00000100298,12.76026474,0.027033253,0.110216575,0.648277624,0.799642421,unchanged
2148,ENSG00000100299,159.8221396,-0.299798869,0.141728265,0.003318526,0.030499146,downregulated
2149,ENSG00000100300,626.1835583,0.042436899,0.081593086,0.504029082,0.696651341,unchanged
2150,ENSG00000100302,0.005728712,-0.000379124,0.12869875,0.970176795,NA,unchanged
2151,ENSG00000100304,84.87541719,-0.471717725,0.150536568,0.000113121,0.003641178,downregulated
2152,ENSG00000100307,433.1210527,-0.457731718,0.129261687,2.09E-05,0.001194988,downregulated
2153,ENSG00000100311,29.85298917,-0.192272502,0.14105404,0.031815778,0.130281049,unchanged
